('list_name', 'name', 'label::English (en)', 'label::Nepali (ne)', 'order')
('stability', '5', 'Very unstable', 'धेरै अस्थिर', None)
('stability', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('stability', '6', 'Dont Know', 'थाहा छैन ', None)
('comparison', '1', 'Much more stable', 'धेरै बढी स्थिर', None)
('comparison', '2', 'Somewhat more stable', 'केही बढी स्थिर', None)
('comparison', '3', 'About the same', 'उस्तै', None)
('comparison', '4', 'Somewhat less stable', 'केही कम स्थिर', None)
('comparison', '5', 'Much less stable', 'धेरै कम स्थिर', None)
('comparison', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('comparison', '6', "Don't know ", 'थाहा छैन', None)
('likelihood', '1', 'Very Likely', 'धेरै सम्भावना', None)
('likelihood', '2', 'Somewhat Likely', 'केही सम्भावना', None)
('likelihood', '3', 'Neutral/ Not sure', 'तटस्थ/निश्चित छैन', None)
('likelihood', '4', 'Somewhat unlikely', 'केही कम सम्भावना', None)
('likelihood', '5', 'Very unlikely', 'धेरै कम सम्भावना', None)
('likelihood', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('sn7om92', '1', 'Strongly agree', 'पूर्ण रूपमा सहमत', None)
('sn7om92', '2', 'Agree', 'सहमत', None)
('sn7om92', '3', 'Neutral', 'ठिक ठिकै', None)
('sn7om92', '4', 'Disagree', 'असहमत', None)
('sn7om92', '5', 'Strongly disagree', 'पूर्ण रूपमा असहमत', None)
('sn7om92', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('sn7om92', 'dont_know', 'Dont Know', 'थाहा छैन ', None)
('follow_genz', '1', 'Engaged directly', 'प्रत्यक्ष रूपमा संलग्न भएको', None)
('follow_genz', '2', 'Very closely', 'धेरै  चासो राखेको', None)
('follow_genz', '3', 'Somewhat closely', 'केही चासो राखेको', None)
('follow_genz', '4', 'Heard but followed very little', 'सुनेको तर धेरै चासो नराखेको', None)
('follow_genz', '5', 'Not at all', 'कति पनि  चासो  नराखेको', None)
('follow_genz', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('south_follow', '1', 'Very Closely', 'धेरै नजिकबाट', None)
('south_follow', '2', 'Somewhat Closely', 'केही नजिकबाट', None)
('south_follow', '3', 'Not very Closely', 'त्यति धेरै नजिकबाट होइन', None)
('south_follow', '4', 'Not at all', 'कति पनि छैन', None)
('south_follow', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('agree6', '1', 'Strongly Agree', 'पूर्ण रूपमा सहमत', None)
('agree6', '2', 'Agree', 'सहमत', None)
('agree6', '3', 'Neutral', 'तटस्थ', None)
('agree6', '4', 'Disagree', 'असहमत', None)
('agree6', '5', 'Strongly disagree', 'पूर्ण रूपमा असहमत', None)
('agree6', '-99', 'Prefer not to say', 'भन्न चाहन्न', None)
('agree6', '6', 'Don’t know', 'थाहा छैन', None)
('south_stability', '1', 'Very Stable', 'धेरै स्थिर', None)
('south_stability', '2', 'Stable', 'स्थिर', None)
('south_stability', '3', 'Neutral', 'तटस्थ', None)
('south_stability', '4', 'Unstable', 'अस्थिर', None)
('south_stability', '5', 'Very Unstable', 'धेरै अस्थिर', None)
('south_stability', '6', 'Don’t know', 'थाहा छैन', None)
('optimism', '1', 'Very Optimistic', 'धेरै आशावादी', None)
('optimism', '2', 'Somewhat Optimistic', 'केही आशावादी', None)
('optimism', '3', 'Neutral', 'तटस्थ', None)
('optimism', '4', 'Somewhat Pessimistic', 'केही निराशावादी', None)
('optimism', '5', 'Very Pessimistic', 'धेरै निराशावादी', None)
('optimism', '6', 'Don’t know', 'थाहा छैन', None)
